sender_name,sender_account,receiver_name,receiver_account,amount,currency,receiver_country
Elizabeth Bernard,GB89TTTI74549676326917,Joseph Caldwell,GB35TZFJ52462450501581,2158.21,EUR,
Nicole Murray,GB73HKEE04212236859419,Jesse Burns,GB66DMEW37257804313091,457.06,EUR,
Steven Hernandez,GB13XBTD08211374602484,Anthony James,GB78GPRK27593936160476,4257.28,USD,
Aaron Allen,GB59BTOW69775137757214,Patricia Lopez,GB55ULDU28310068479817,8176.42,GBP,Andorra
Teresa Williams,GB78DPCJ85744733411131,Juan Barnett,GB23ZNIE28193953955850,557.64,USD,
Emily Parker,GB75LAWF29356238422417,Christina Jackson,GB68PLVD88819426259447,1552.0,GBP,
Evan Peterson,GB10KBBH10279104505285,Bryan Diaz,GB40MDAU12314533738853,2456.19,USD,
Patrick Ingram,GB78EHHG29350471111200,Robert Campbell,GB51ZCSH37962292772876,7521.68,GBP,Norway
Nicole Jones,GB33YHRS94078010334543,Christopher Reyes,GB22LFXM36895880404622,380.52,GBP,
Danielle Byrd,GB24MQKP10884904457587,Tara Cantrell,GB58FOXD91779823831778,2163.07,USD,
David Colon,GB41HCEV96008282651186,Alexander Clay,GB44YFMI79577407968222,809.71,EUR,
Misty Rogers,GB95VLWL69792487865672,James Martinez,GB78UJVZ75046467296058,394.12,USD,
Danielle Byrd,GB24MQKP10884904457587,Marissa Sherman,GB96SLUK90313174372921,3819.21,USD,
Ms. Jill Young,GB54PABU47483335646324,Stephanie Reed,GB41HZFD10344630976309,8049.09,GBP,Mauritania
Daniel Walker,GB83HZEI45092434821299,Jeremy Patterson,GB30UXJE77229718826664,4408.12,EUR,
Shannon Hampton,GB26BWST00754867159518,Alexander Clay,GB44YFMI79577407968222,713.15,USD,
Gregory Mendez,GB75RIKF78629438680456,Matthew Watkins,GB13RHXT83092873250846,3332.55,USD,Paraguay
David Little,GB86ZQQN76984644914580,Jeremy Daniels,GB60KKGW05941863191135,8741.3,EUR,South Africa
Tanya Mitchell,GB10HIAK50481986281594,Robert Bailey,GB89OSDM14118899539701,370.68,GBP,
William Brown,GB10UXVZ03431691188930,Brian Bell,GB38GWIY34802016705550,8847.05,USD,Vanuatu
Colin Weiss,GB32TXXZ35947824077284,Michael Wilson,GB69CVCC80614657982368,421.24,EUR,
Gordon Warner,GB36PMHR38214343230566,Louis Turner,GB94OLTX64989733678643,2361.75,EUR,
Cory Carroll,GB70MRXC12623671848948,Gregory Jackson,GB57KAVP04339352535653,2874.94,EUR,
Stephen Gomez,GB47MHVU94791249608407,Patrick Mccoy,GB75DOVO96499292673182,1265.82,USD,French Polynesia
Christopher Johnson,GB10VERQ03089589284322,Nathaniel Gonzalez,GB91RMUP30166899027764,3943.14,EUR,
Daniel Kemp,GB67DPGY22854764952738,Dillon Terrell,GB64NXYM30870930902182,377.72,GBP,
Marc Armstrong,GB27FJMU39566125984537,Robert Bailey,GB89OSDM14118899539701,551.02,USD,
